university_id,university_name,province,city,type,specialization,programs_offered,eligibility_criteria,fee_range_year_min,fee_range_year_max,application_window,apply_url,website,ranking_tier
uol,University of Lahore (UOL),Punjab,Lahore,private,"Business, IT, Engineering","BBA, BS CS/SE, BE; MBA/MS/PhD",Inter â‰¥50â€“60% + test/interview,200000,380000,Junâ€“Sep,https://uol.edu.pk/admissions,https://uol.edu.pk,B
ucp,University of Central Punjab (UCP),Punjab,Lahore,private,"Business, IT, Engineering","BBA, BS CS/SE, BE; MBA/MS/PhD",Inter â‰¥50â€“60% + test/interview,220000,400000,Junâ€“Sep,https://ucp.edu.pk/admissions,https://ucp.edu.pk,B
umt,University of Management & Technology (UMT),Punjab,Lahore,private,"Business, IT, Engineering","BBA, BS CS/SE, BE; MBA/MS/PhD",Inter â‰¥50â€“60% + test/interview,220000,380000,Junâ€“Sep,https://admissions.umt.edu.pk/,https://www.umt.edu.pk,B
lse,Lahore School of Economics (LSE),Punjab,Lahore,private,"Business, Data",BSc Econ/Finance; MS/MBA/PhD,Inter â‰¥60% + test/interview,500000,900000,Junâ€“Aug,https://lse.edu.pk/admissions,https://lse.edu.pk,A
nfc-iet,NFC IET Multan,Punjab,Multan,public,"Engineering, IT","BE/BS Engg, BS CS; MS",Pre-Eng â‰¥60% + entry test,60000,150000,Junâ€“Aug,https://www.nfciet.edu.pk/admissions,https://www.nfciet.edu.pk,B
hitec,HITEC University Taxila,Punjab,Taxila,private,"Engineering, IT, Business","BE/BS Engg, BS CS, BBA; MS/MBA",Pre-Eng/ICS + test,180000,320000,Junâ€“Sep,https://hitecuni.edu.pk/admissions,https://hitecuni.edu.pk,B
wah,University of Wah,Punjab,Wah Cantt,public,"Engineering, IT, Business","BE/BS Engg, BS CS, BBA; MS/MBA",Pre-Eng/ICS + test,150000,300000,Junâ€“Sep,https://uow.edu.pk/admissions,https://uow.edu.pk,B
uet-pesh,UET Peshawar,Khyber Pakhtunkhwa,Peshawar,public,"Engineering, IT","BE/BS Engg, BS CS; MS/PhD",Pre-Eng â‰¥60% + ETEA/ECAT,50000,150000,Junâ€“Aug,https://www.uetpeshawar.edu.pk/admissions,https://www.uetpeshawar.edu.pk,B
giki,GIKI,Khyber Pakhtunkhwa,Topi,private,"Engineering, CS",BS Engg/CS; MS/PhD,Competitive test/SAT,700000,1200000,Aprâ€“Aug,https://admissions.giki.edu.pk/,https://giki.edu.pk,A
imsciences,IMSciences Peshawar,Khyber Pakhtunkhwa,Peshawar,public,"Business, IT","BBA, BS CS/DS; MBA/MS/PhD",Inter â‰¥50â€“60% + test/interview,180000,320000,Junâ€“Sep,https://imsciences.edu.pk/admissions,https://imsciences.edu.pk,B
city-pesh,City University of Science & IT (CUSIT),Khyber Pakhtunkhwa,Peshawar,private,"IT, Engineering, Business","BS CS/SE, BE, BBA; MS/MBA",Inter â‰¥50â€“60% + test/interview,160000,300000,Junâ€“Sep,https://www.cityuniversity.edu.pk/admissions,https://www.cityuniversity.edu.pk,B
cecos,CECOS University,Khyber Pakhtunkhwa,Peshawar,private,"Engineering, IT, Architecture, Business","BS CS/SE, BE, BArch, BBA; MS/MBA",Inter â‰¥50â€“60% + test/interview,180000,320000,Junâ€“Sep,https://www.cecos.edu.pk/admissions,https://www.cecos.edu.pk,B
buitems,BUITEMS Quetta,Balochistan,Quetta,public,"Engineering, IT, Business","BS Engg/CS, BBA; MS/MPhil",Inter â‰¥50â€“60% + entry test,60000,150000,Julâ€“Sep,https://admissions.buitms.edu.pk/,https://www.buitms.edu.pk,B
buetk,BUET Khuzdar,Balochistan,Khuzdar,public,"Engineering, IT","BE/BS Engg, BS CS; MS",Pre-Eng â‰¥60% + entry test,60000,150000,Junâ€“Aug,https://www.buetk.edu.pk/admissions,https://www.buetk.edu.pk,B
nust,NUST,Islamabad Capital Territory,Islamabad,public,"Engineering, IT, Business","BS Engg/CS, BBA; MS/MBA/PhD",FSc â‰¥60% + NUST NET/SAT; GAT/NET for PG,350000,750000,Mayâ€“Aug,https://ugadmissions.nust.edu.pk/,https://nust.edu.pk,A
pieas,PIEAS,Islamabad Capital Territory,Islamabad,public,"Engineering, CS",BS Engg/CS; MS/PhD,Highly competitive test/merit,300000,600000,Aprâ€“Aug,https://pieas.edu.pk/admissions,https://pieas.edu.pk,A
ist,Institute of Space Technology (IST),Islamabad Capital Territory,Islamabad,public,"Aerospace, Avionics, IT",BS Aerospace/Avionics/CS; MS/PhD,Inter â‰¥60% + IST test/SAT,250000,500000,Junâ€“Aug,https://www.ist.edu.pk/admissions,https://www.ist.edu.pk,B
air,Air University,Islamabad Capital Territory,Islamabad,semi-public,"IT, EE, Business","BS CS/SE, BEE, BBA; MS/MBA/PhD",Inter â‰¥50â€“60% + test,200000,360000,Junâ€“Sep,https://au.edu.pk/admissions,https://au.edu.pk,B
bahria-isb,Bahria University Islamabad,Islamabad Capital Territory,Islamabad,semi-public,"Business, IT, EE","BBA, BS CS/SE, BEE; MBA/MS/PhD",Inter â‰¥50â€“60% + test/SAT,220000,380000,Junâ€“Sep,https://bahria.edu.pk/admissions,https://bahria.edu.pk,B
comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,public,"IT, Engineering, Business","BS CS/SE, BBA; MS/PhD",Inter â‰¥50â€“60% + NTS/COMSATS test,100000,250000,Junâ€“Sep,https://islamabad.comsats.edu.pk/admissions,https://islamabad.comsats.edu.pk,B
cust,Capital University of Science & Technology (CUST),Islamabad Capital Territory,Islamabad,private,"IT, Engineering, Business","BS CS/SE, BE, BBA; MBA/MS/PhD",Inter â‰¥50â€“60% + test/interview,220000,420000,Junâ€“Sep,https://cust.edu.pk/admissions,https://cust.edu.pk,B
nutech,NUTECH,Islamabad Capital Territory,Islamabad,public,"Engineering, Technology",BS Technology/Engg; MS/PhD,Pre-Eng â‰¥60% + test/interview,150000,350000,Junâ€“Aug,https://nutech.edu.pk/admissions,https://nutech.edu.pk,B
fest_0201,University of Karachi (UoK),Sindh,Karachi,Public,Science & Technology,"BS, MS, PhD",Intermediate / GAT / Entry Test,60000,150000,June–August,https://uok.edu.pk/admissions/,https://uok.edu.pk,A
fest_0202,Hamdard University,Sindh,Karachi,Private,"Science, Pharmacy, Engineering","BS, BE, MS, PhD",Intermediate / GAT / Interview,160000,300000,May–August,https://admissions.hamdard.edu.pk,https://www.hamdard.edu.pk,A
fest_0203,Ilma University (formerly IBT),Sindh,Karachi,Private,"Business, Computer Science, Engineering","BS, BBA, MBA, MS, PhD",Intermediate / Entry Test,120000,250000,June–August,https://admissions.ilmauniversity.edu.pk,https://www.ilmauniversity.edu.pk,B
fest_0204,Indus University,Sindh,Karachi,Private,"Engineering, IT, Business","BS, BE, MS, PhD",Intermediate / Entry Test,140000,260000,June–July,https://indus.edu.pk/admissions/,https://indus.edu.pk,B
fest_0205,Usman Institute of Technology (UIT),Sindh,Karachi,Private,Engineering & Computer Science,"BS, BE, MS",Intermediate / Entry Test,180000,320000,June–July,https://uitu.edu.pk/admissions/,https://uitu.edu.pk,A
fest_0206,Sir Syed University of Engineering & Technology (SSUET),Sindh,Karachi,Private,Engineering & Technology,"BE, BS, MS, PhD",Intermediate (Pre-Eng/ICS) + Test,180000,350000,May–July,https://admissions.ssuet.edu.pk,https://www.ssuet.edu.pk,A
fest_0207,Sindh University Jamshoro,Sindh,Jamshoro,Public,Science & IT,"BS, MS, PhD",Intermediate / GAT,50000,120000,June–July,https://usindh.edu.pk/admissions/,https://usindh.edu.pk,A
fest_0208,Isra University Hyderabad,Sindh,Hyderabad,Private,"Engineering, Health, Science","BS, BE, MS, PhD",Intermediate / Entry Test,180000,350000,June–August,https://isra.edu.pk/admissions,https://isra.edu.pk,B
fest_0209,Shaheed Benazir Bhutto University (SBBU) Shaheed Benazirabad,Sindh,Nawabshah,Public,Science & Technology,"BS, MS",Intermediate / GAT,40000,100000,May–July,https://sbbusba.edu.pk/admissions,https://sbbusba.edu.pk,B
fest_0210,Bahauddin Zakariya University (BZU),Punjab,Multan,Public,Science & Engineering,"BS, MS, PhD",Intermediate / GAT / Test,50000,150000,June–August,https://bzu.edu.pk/admissions,https://bzu.edu.pk,A
fest_0211,The Islamia University of Bahawalpur (IUB),Punjab,Bahawalpur,Public,"Engineering, Science, IT","BS, BE, MS, PhD",Intermediate / Entry Test,60000,180000,June–August,https://iub.edu.pk/admissions,https://iub.edu.pk,A
fest_0212,University of Gujrat (UOG),Punjab,Gujrat,Public,Science & Technology,"BS, MS, PhD",Intermediate / GAT / Entry Test,40000,120000,June–July,https://uog.edu.pk/admissions,https://uog.edu.pk,A
fest_0213,University of Sargodha (UOS),Punjab,Sargodha,Public,"Science, IT, Business","BS, MS, PhD",Intermediate / Entry Test,50000,140000,June–August,https://su.edu.pk/admissions,https://su.edu.pk,A
fest_0214,Superior University Lahore,Punjab,Lahore,Private,"Engineering, Business, IT","BS, BE, MS, PhD",Intermediate / Entry Test,180000,350000,May–August,https://superior.edu.pk/admissions,https://superior.edu.pk,A
fest_0215,Gomal University Dera Ismail Khan,Khyber Pakhtunkhwa,D.I. Khan,Public,Science & Technology,"BS, MS, PhD",Intermediate / GAT,40000,120000,May–July,https://gu.edu.pk/admissions,https://gu.edu.pk,A
fest_0216,University of Swat,Khyber Pakhtunkhwa,Swat,Public,"Science, IT, Business","BS, MS, PhD",Intermediate / GAT,35000,100000,June–August,https://uswat.edu.pk/admissions,https://uswat.edu.pk,A
fest_0217,University of Science & Technology Bannu (UST Bannu),Khyber Pakhtunkhwa,Bannu,Public,Science & Technology,"BS, MS, PhD",Intermediate / GAT,40000,120000,June–August,https://ustb.edu.pk/admissions,https://ustb.edu.pk,A
fest_0218,"Lasbela University of Agriculture, Water & Marine Sciences (LUAWMS)",Balochistan,Lasbela,Public,"Agriculture, Marine Science, Engineering","BS, MS, PhD",Intermediate / Entry Test,35000,100000,May–July,https://luawms.edu.pk/admissions,https://luawms.edu.pk,A
fest_0219,"Mir Chakar Khan Rind University, Sibi",Balochistan,Sibi,Public,"Science, Engineering","BS, MS",Intermediate / GAT,40000,90000,June–July,https://mckru.edu.pk/admissions,https://mckru.edu.pk,B
PIET01,Pakistan Institute of Engineering and Technology (PIET),Punjab,Multan,Private,"Engineering, Science, Technology","Electrical, Mechanical, Civil, Computer, Software, IT",Intermediate (Pre-Engg/ICS) or equivalent,180000,250000,Apr–Aug,https://piet.edu.pk/admissions,https://piet.edu.pk,B
UOC01,University of Chakwal,Punjab,Chakwal,Public,"Engineering, Science, Technology","Electrical, Mechatronics, CS, IT, Civil",Intermediate (Pre-Engg/ICS) or equivalent,50000,90000,Jun–Aug,https://uoc.edu.pk/admissions,https://uoc.edu.pk,B
USA01,University of South Asia (USA),Punjab,Lahore,Private,"Engineering, Science, Business, Technology","CS, SE, EE, CE, DS, AI",Intermediate (Pre-Engg/ICS) or equivalent,200000,300000,Jan–Aug,https://usa.edu.pk/admissions,https://usa.edu.pk,A
MUL01,Minhaj University Lahore,Punjab,Lahore,Private,"Science, IT, Business","CS, IT, SE, DS, AI",Intermediate or equivalent,150000,220000,Mar–Aug,https://mul.edu.pk/admissions,https://mul.edu.pk,B
ICB01,Imperial College of Business Studies (ICBS),Punjab,Lahore,Private,"Engineering, Science, Business","EE, CE, ME, CS, SE",Intermediate or equivalent,180000,250000,Jan–Aug,https://imperial.edu.pk/admissions,https://imperial.edu.pk,B
GIF01,GIFT University,Punjab,Gujranwala,Private,"Engineering, IT, Business","CS, SE, IT, AI, DS",Intermediate or equivalent,170000,230000,Mar–Aug,https://gift.edu.pk/admissions,https://gift.edu.pk,B
GRN01,Green International University,Punjab,Lahore,Private,"Science, IT, Engineering","CS, EE, ME, CE, SE",Intermediate or equivalent,180000,260000,Feb–Aug,https://giu.edu.pk/admissions,https://giu.edu.pk,B
GNI01,Ghazi National Institute of Engineering & Sciences,Punjab,Dera Ghazi Khan,Private,"Engineering, Science","EE, ME, CE, CS, IT",Intermediate or equivalent,150000,200000,May–Aug,https://gnies.edu.pk/admissions,https://gnies.edu.pk,B
GAU01,Grand Asian University,Punjab,Sialkot,Private,"Engineering, Science, Business","CS, SE, EE, ME, CE, IT",Intermediate or equivalent,160000,240000,Jan–Aug,https://gau.edu.pk/admissions,https://gau.edu.pk,B
ABA01,Abasyn University,KPK,Peshawar,Private,"Engineering, IT, Science","CS, SE, EE, CE, DS, AI",Intermediate or equivalent,180000,250000,Feb–Aug,https://abasyn.edu.pk/admissions,https://abasyn.edu.pk,A
IQN01,IQRA National University,KPK,Peshawar,Private,"Engineering, IT, Management","CS, EE, CE, SE, IT",Intermediate or equivalent,160000,220000,Feb–Aug,https://inu.edu.pk/admissions,https://inu.edu.pk,B
PAF01,Pak-Austria Fachhochschule: Institute of Applied Sciences and Technology,KPK,Haripur,Public,"Engineering, Applied Sciences, Technology","Electrical, Mechanical, Biomedical, AI, CS",Intermediate (Pre-Engg/ICS) or equivalent,70000,100000,Mar–Aug,https://paf-iast.edu.pk/admissions,https://paf-iast.edu.pk,A
MUS01,Mirpur University of Science & Technology (MUST),AJK,Mirpur,Public,"Engineering, Science, Technology","Electrical, Mechanical, Civil, CS, SE, IT",Intermediate or equivalent,60000,90000,Mar–Aug,https://must.edu.pk/admissions,https://must.edu.pk,A
UAJ01,University of Azad Jammu & Kashmir (UAJK),AJK,Muzaffarabad,Public,"Science, Engineering, IT","CS, IT, Physics, Mathematics, Engineering",Intermediate or equivalent,40000,80000,Mar–Aug,https://ajku.edu.pk/admissions,https://ajku.edu.pk,A
KIU01,Karakoram International University (KIU),GB,Gilgit,Public,"Science, Technology, Engineering","CS, EE, CE, SE, IT, DS",Intermediate or equivalent,35000,70000,Apr–Aug,https://kiu.edu.pk/admissions,https://kiu.edu.pk,A
USB01,University of Baltistan,GB,Skardu,Public,"Science, Technology, Engineering","CS, IT, EE, SE, DS",Intermediate or equivalent,35000,70000,Apr–Aug,https://usbas.edu.pk/admissions,https://usbas.edu.pk,A
HUB01,Habib University,Sindh,Karachi,Private,"Engineering, Science, Liberal Arts","EE, CE, CS, AI",Intermediate or equivalent,700000,950000,Mar–Aug,https://habib.edu.pk/admissions,https://habib.edu.pk,A+
SHU01,Salim Habib University,Sindh,Karachi,Private,"Engineering, Science, IT","BSCS, BSSE, BEEE, BBA, BS Biotechnology",Intermediate or equivalent,300000,450000,Feb–Aug,https://shu.edu.pk/admissions,https://shu.edu.pk,A
NHU01,Nazeer Hussain University,Sindh,Karachi,Private,"Engineering, Science, IT","EE, CE, ME, CS, SE",Intermediate or equivalent,200000,300000,Feb–Aug,https://nhu.edu.pk/admissions,https://nhu.edu.pk,B
THR01,"Thar Institute of Engineering, Science & Technology",Sindh,Tharparkar,Public,"Engineering, Science","EE, CE, ME, Mining Engg",Intermediate (Pre-Engg),50000,100000,Apr–Aug,https://tharuniversity.edu.pk/admissions,https://tharuniversity.edu.pk,B
